year,rank,country,crime_index,safety_index
2012,1,Venezuela,84.74,15.26
2012,2,South Africa,78.12,21.88
2012,3,Puerto Rico,73.06,26.94
2012,4,Malaysia,70.88,29.12
2012,5,United States,64.93,35.07
2012,6,Algeria,64.84,35.16
2012,7,Mexico,62.54,37.46
2012,8,Peru,60.94,39.06
2012,9,Lebanon,59.9,40.1
2012,10,Bangladesh,59.69,40.31
2012,11,Brazil,59.26,40.74
2012,12,Pakistan,58.71,41.29
2012,13,Italy,56.67,43.33
2012,14,Chile,56.35,43.65
2012,15,Ecuador,55.41,44.59
2012,16,Ukraine,55.39,44.61
2012,17,Philippines,53.09,46.91
2012,18,Greece,52.03,47.97
2012,19,Iran,51.86,48.14
2012,20,Russia,50.57,49.43
2012,21,Argentina,48.38,51.62
2012,22,Colombia,47.21,52.79
2012,23,Slovakia,46.88,53.12
2012,24,New Zealand,46.81,53.19
2012,25,Ireland,46.07,53.93
2012,26,United Kingdom,46.04,53.96
2012,27,India,45.64,54.36
2012,28,Denmark,45.31,54.69
2012,29,France,44.76,55.24
2012,30,China,44.47,55.53
2012,31,Egypt,44.31,55.69
2012,32,Austria,44.08,55.92
2012,33,Uruguay,42.81,57.19
2012,34,Bulgaria,41.37,58.63
2012,35,Israel,40.78,59.22
2012,36,Portugal,40.64,59.36
2012,37,Belgium,40.62,59.38
2012,38,Australia,40.62,59.38
2012,39,Bosnia And Herzegovina,40.31,59.69
2012,40,Canada,39.82,60.18
2012,41,Thailand,39.67,60.33
2012,42,Lithuania,39.06,60.94
2012,43,Poland,38.7,61.3
2012,44,Azerbaijan,38.54,61.46
2012,45,Jamaica,36.72,63.28
2012,46,Czech Republic,36.59,63.41
2012,47,Sweden,36.24,63.76
2012,48,United Arab Emirates,35.95,64.05
2012,49,Slovenia,35.71,64.29
2012,50,Morocco,33.59,66.41
2012,51,Iceland,33.33,66.67
2012,52,Spain,32.96,67.04
2012,53,Saudi Arabia,32.48,67.52
2012,54,Panama,32.42,67.58
2012,55,Croatia,32.42,67.58
2012,56,Georgia,31.33,68.67
2012,57,Hungary,30.47,69.53
2012,58,Cyprus,30.27,69.73
2012,59,Albania,30.08,69.92
2012,60,Romania,29.59,70.41
2012,61,Serbia,28.7,71.3
2012,62,Netherlands,28.4,71.6
2012,63,Turkey,26.38,73.62
2012,64,Switzerland,25.78,74.22
2012,65,Estonia,25,75
2012,66,Indonesia,23.87,76.13
2012,67,Germany,21.2,78.8
2012,68,Malta,20.31,79.69
2012,69,Singapore,20.21,79.79
2012,70,Jordan,19.14,80.86
2012,71,Norway,19.07,80.93
2012,72,Finland,17.58,82.42
2012,73,Hong Kong,14.45,85.55
2012,74,Taiwan,9.45,90.55
2012,75,Japan,5.75,94.25
2013,1,Venezuela,85.7,14.3
2013,2,Guatemala,84.87,15.13
2013,3,Trinidad And Tobago,83.65,16.35
2013,4,South Africa,76.68,23.32
2013,5,Kenya,74.3,25.7
2013,6,Honduras,72.97,27.03
2013,7,Uzbekistan,72.27,27.73
2013,8,Puerto Rico,70.53,29.47
2013,9,Malaysia,67.75,32.25
2013,10,Costa Rica,66.69,33.31
2013,11,Uganda,66.02,33.98
2013,12,Brazil,62.62,37.38
2013,13,Syria,62.34,37.66
2013,14,Pakistan,61.52,38.48
2013,15,Paraguay,60.68,39.32
2013,16,Nigeria,60.62,39.38
2013,17,Kyrgyzstan,60.05,39.95
2013,18,Ecuador,59.74,40.26
2013,19,Bangladesh,59.43,40.57
2013,20,Argentina,59.29,40.71
2013,21,Dominican Republic,58.07,41.93
2013,22,Peru,58,42
2013,23,Eritrea,57.81,42.19
2013,24,Iraq,56.25,43.75
2013,25,Mexico,56.23,43.77
2013,26,Iran,56.15,43.85
2013,27,Philippines,54.94,45.06
2013,28,Monaco,54.69,45.31
2013,29,Colombia,54.16,45.84
2013,30,Jamaica,53.91,46.09
2013,31,United States,53.44,46.56
2013,32,Vietnam,53.02,46.98
2013,33,Kazakhstan,52.86,47.14
2013,34,Zimbabwe,52.86,47.14
2013,35,Russia,52.39,47.61
2013,36,Angola,52.34,47.66
2013,37,Algeria,51.82,48.18
2013,38,Mauritius,51.51,48.49
2013,39,France,51.13,48.87
2013,40,El Salvador,50.57,49.43
2013,41,Greece,49.76,50.24
2013,42,Italy,49.46,50.54
2013,43,Ukraine,48.95,51.05
2013,44,Egypt,48.67,51.33
2013,45,Panama,48.46,51.54
2013,46,Israel,48.26,51.74
2013,47,Lebanon,47.31,52.69
2013,48,Albania,47.05,52.95
2013,49,Mongolia,46.87,53.13
2013,50,Bolivia,46.35,53.65
2013,51,Latvia,45.71,54.29
2013,52,Tunisia,45.46,54.54
2013,53,Uruguay,44.97,55.03
2013,54,Ireland,44.95,55.05
2013,55,Australia,44.44,55.56
2013,56,Laos,44.27,55.73
2013,57,Jordan,43.43,56.57
2013,58,Bosnia And Herzegovina,43.26,56.74
2013,59,Belgium,42.95,57.05
2013,60,India,42.12,57.88
2013,61,Nicaragua,41.93,58.07
2013,62,New Zealand,41.79,58.21
2013,63,Moldova,41.67,58.33
2013,64,Bulgaria,41.47,58.53
2013,65,Serbia,41.23,58.77
2013,66,Armenia,41.07,58.93
2013,67,Thailand,40.53,59.47
2013,68,Indonesia,40.49,59.51
2013,69,Chile,40.28,59.72
2013,70,United Kingdom,39.78,60.22
2013,71,Sri Lanka,39.69,60.31
2013,72,Poland,38.93,61.07
2013,73,Nepal,38.15,61.85
2013,74,Netherlands,37.53,62.47
2013,75,Namibia,37.34,62.66
2013,76,Azerbaijan,36.69,63.31
2013,77,Turkey,35.2,64.8
